k,algorithm,edge_group,split,dynamic_stage,value
25,BFS2Vec,doi_name,0.8,2nd,0.09259259259259259
25,BFS2Vec,doi_name,0.8,3rd,0.17543859649122806
25,BFS2Vec,doi_name,0.8,4th,0.2926829268292683
25,BFS2Vec,doi_name,0.8,1st,0.03932584269662921
25,BFS2Vec,doi_name,0.8,2nd,0.0821256038647343
25,BFS2Vec,doi_name,0.8,3rd,0.15833333333333333
25,BFS2Vec,doi_name,0.8,4th,0.2708333333333333
25,BFS2Vec,doi_name,0.8,1st,0.042134831460674156
25,BFS2Vec,doi_name,0.8,2nd,0.08290155440414508
25,BFS2Vec,doi_name,0.8,3rd,0.19607843137254902
25,BFS2Vec,doi_name,0.8,4th,0.5555555555555556
25,BFS2Vec,doi_name,0.8,1st,0.025280898876404494
25,BFS2Vec,doi_name,0.8,2nd,0.10050251256281408
25,BFS2Vec,doi_name,0.8,3rd,0.14018691588785046
25,BFS2Vec,doi_name,0.8,4th,0.43902439024390244
25,BFS2Vec,doi_name,0.8,1st,0.042134831460674156
25,BFS2Vec,doi_name,0.8,2nd,0.12169312169312169
25,BFS2Vec,doi_name,0.8,3rd,0.19090909090909092
25,BFS2Vec,doi_name,0.8,4th,0.5121951219512195
25,BFS2Vec,doi_name,0.8,1st,0.03651685393258427
25,BFS2Vec,doi_name,0.8,2nd,0.06310679611650485
25,BFS2Vec,doi_name,0.8,3rd,0.1792452830188679
25,BFS2Vec,doi_name,0.8,4th,0.41304347826086957
25,BFS2Vec,doi_name,0.8,1st,0.03651685393258427
25,BFS2Vec,doi_name,0.8,2nd,0.08133971291866028
25,BFS2Vec,doi_name,0.8,3rd,0.14705882352941177
25,BFS2Vec,doi_name,0.8,4th,0.3111111111111111
25,BFS2Vec,doi_name,0.8,1st,0.03932584269662921
25,BFS2Vec,doi_name,0.8,2nd,0.08737864077669903
25,BFS2Vec,doi_name,0.8,3rd,0.15315315315315314
25,BFS2Vec,doi_name,0.8,4th,0.4222222222222222
30,BFS2Vec,doi_name,0.8,1st,0.03089887640449438
30,BFS2Vec,doi_name,0.8,2nd,0.13089005235602094
30,BFS2Vec,doi_name,0.8,3rd,0.2777777777777778
30,BFS2Vec,doi_name,0.8,4th,0.5813953488372093
30,BFS2Vec,doi_name,0.8,1st,0.042134831460674156
30,BFS2Vec,doi_name,0.8,2nd,0.11734693877551021
30,BFS2Vec,doi_name,0.8,3rd,0.211864406779661
30,BFS2Vec,doi_name,0.8,4th,0.6190476190476191
30,BFS2Vec,doi_name,0.8,1st,0.028089887640449437
30,BFS2Vec,doi_name,0.8,2nd,0.1111111111111111
30,BFS2Vec,doi_name,0.8,3rd,0.19298245614035087
30,BFS2Vec,doi_name,0.8,4th,0.34146341463414637
30,BFS2Vec,doi_name,0.8,1st,0.05898876404494382
30,BFS2Vec,doi_name,0.8,2nd,0.10144927536231885
30,BFS2Vec,doi_name,0.8,3rd,0.19166666666666668
30,BFS2Vec,doi_name,0.8,4th,0.3333333333333333
30,BFS2Vec,doi_name,0.8,1st,0.05056179775280899
30,BFS2Vec,doi_name,0.8,2nd,0.10880829015544041
30,BFS2Vec,doi_name,0.8,3rd,0.20588235294117646
30,BFS2Vec,doi_name,0.8,4th,0.6388888888888888
30,BFS2Vec,doi_name,0.8,1st,0.03089887640449438
30,BFS2Vec,doi_name,0.8,2nd,0.12060301507537688
30,BFS2Vec,doi_name,0.8,3rd,0.21495327102803738
30,BFS2Vec,doi_name,0.8,4th,0.43902439024390244
30,BFS2Vec,doi_name,0.8,1st,0.047752808988764044
30,BFS2Vec,doi_name,0.8,2nd,0.14285714285714285
30,BFS2Vec,doi_name,0.8,3rd,0.21818181818181817
30,BFS2Vec,doi_name,0.8,4th,0.7804878048780488
30,BFS2Vec,doi_name,0.8,1st,0.0449438202247191
30,BFS2Vec,doi_name,0.8,2nd,0.0970873786407767
30,BFS2Vec,doi_name,0.8,3rd,0.19811320754716982
30,BFS2Vec,doi_name,0.8,4th,0.45652173913043476
30,BFS2Vec,doi_name,0.8,1st,0.05056179775280899
30,BFS2Vec,doi_name,0.8,2nd,0.11004784688995216
30,BFS2Vec,doi_name,0.8,3rd,0.14705882352941177
30,BFS2Vec,doi_name,0.8,4th,0.4
30,BFS2Vec,doi_name,0.8,1st,0.047752808988764044
30,BFS2Vec,doi_name,0.8,2nd,0.13106796116504854
30,BFS2Vec,doi_name,0.8,3rd,0.2072072072072072
30,BFS2Vec,doi_name,0.8,4th,0.4888888888888889
35,BFS2Vec,doi_name,0.8,1st,0.047752808988764044
35,BFS2Vec,doi_name,0.8,2nd,0.14659685863874344
35,BFS2Vec,doi_name,0.8,3rd,0.3055555555555556
35,BFS2Vec,doi_name,0.8,4th,0.6744186046511628
35,BFS2Vec,doi_name,0.8,1st,0.056179775280898875
35,BFS2Vec,doi_name,0.8,2nd,0.1326530612244898
35,BFS2Vec,doi_name,0.8,3rd,0.2288135593220339
35,BFS2Vec,doi_name,0.8,4th,0.7380952380952381
35,BFS2Vec,doi_name,0.8,1st,0.042134831460674156
35,BFS2Vec,doi_name,0.8,2nd,0.14351851851851852
35,BFS2Vec,doi_name,0.8,3rd,0.22807017543859648
35,BFS2Vec,doi_name,0.8,4th,0.5365853658536586
35,BFS2Vec,doi_name,0.8,1st,0.0702247191011236
35,BFS2Vec,doi_name,0.8,2nd,0.10628019323671498
35,BFS2Vec,doi_name,0.8,3rd,0.23333333333333334
35,BFS2Vec,doi_name,0.8,4th,0.4166666666666667
35,BFS2Vec,doi_name,0.8,1st,0.06179775280898876
35,BFS2Vec,doi_name,0.8,2nd,0.12953367875647667
35,BFS2Vec,doi_name,0.8,3rd,0.23529411764705882
35,BFS2Vec,doi_name,0.8,4th,0.75
35,BFS2Vec,doi_name,0.8,1st,0.05337078651685393
35,BFS2Vec,doi_name,0.8,2nd,0.135678391959799
35,BFS2Vec,doi_name,0.8,3rd,0.24299065420560748
35,BFS2Vec,doi_name,0.8,4th,0.5365853658536586
35,BFS2Vec,doi_name,0.8,1st,0.05898876404494382
35,BFS2Vec,doi_name,0.8,2nd,0.1693121693121693
35,BFS2Vec,doi_name,0.8,3rd,0.22727272727272727
35,BFS2Vec,doi_name,0.8,4th,0.8048780487804879
35,BFS2Vec,doi_name,0.8,1st,0.05337078651685393
35,BFS2Vec,doi_name,0.8,2nd,0.13106796116504854
35,BFS2Vec,doi_name,0.8,3rd,0.24528301886792453
35,BFS2Vec,doi_name,0.8,4th,0.5
35,BFS2Vec,doi_name,0.8,1st,0.06460674157303371
35,BFS2Vec,doi_name,0.8,2nd,0.12440191387559808
35,BFS2Vec,doi_name,0.8,3rd,0.20588235294117646
35,BFS2Vec,doi_name,0.8,4th,0.4222222222222222
35,BFS2Vec,doi_name,0.8,1st,0.05898876404494382
35,BFS2Vec,doi_name,0.8,2nd,0.14563106796116504
35,BFS2Vec,doi_name,0.8,3rd,0.22522522522522523
35,BFS2Vec,doi_name,0.8,4th,0.5333333333333333
40,BFS2Vec,doi_name,0.8,1st,0.05898876404494382
40,BFS2Vec,doi_name,0.8,2nd,0.16230366492146597
40,BFS2Vec,doi_name,0.8,3rd,0.3333333333333333
40,BFS2Vec,doi_name,0.8,4th,0.7209302325581395
40,BFS2Vec,doi_name,0.8,1st,0.06741573033707865
40,BFS2Vec,doi_name,0.8,2nd,0.17346938775510204
40,BFS2Vec,doi_name,0.8,3rd,0.2627118644067797
40,BFS2Vec,doi_name,0.8,4th,0.8333333333333334
40,BFS2Vec,doi_name,0.8,1st,0.056179775280898875
40,BFS2Vec,doi_name,0.8,2nd,0.14814814814814814
40,BFS2Vec,doi_name,0.8,3rd,0.24561403508771928
40,BFS2Vec,doi_name,0.8,4th,0.6829268292682927
40,BFS2Vec,doi_name,0.8,1st,0.07584269662921349
40,BFS2Vec,doi_name,0.8,2nd,0.13043478260869565
40,BFS2Vec,doi_name,0.8,3rd,0.25833333333333336
40,BFS2Vec,doi_name,0.8,4th,0.5208333333333334
40,BFS2Vec,doi_name,0.8,1st,0.06741573033707865
40,BFS2Vec,doi_name,0.8,2nd,0.16580310880829016
40,BFS2Vec,doi_name,0.8,3rd,0.3137254901960784
40,BFS2Vec,doi_name,0.8,4th,0.8055555555555556
40,BFS2Vec,doi_name,0.8,1st,0.06460674157303371
40,BFS2Vec,doi_name,0.8,2nd,0.16080402010050251
40,BFS2Vec,doi_name,0.8,3rd,0.24299065420560748
40,BFS2Vec,doi_name,0.8,4th,0.6829268292682927
40,BFS2Vec,doi_name,0.8,1st,0.06741573033707865
40,BFS2Vec,doi_name,0.8,2nd,0.19047619047619047
40,BFS2Vec,doi_name,0.8,3rd,0.2818181818181818
40,BFS2Vec,doi_name,0.8,4th,0.8780487804878049
40,BFS2Vec,doi_name,0.8,1st,0.07303370786516854
40,BFS2Vec,doi_name,0.8,2nd,0.14563106796116504
40,BFS2Vec,doi_name,0.8,3rd,0.27358490566037735
40,BFS2Vec,doi_name,0.8,4th,0.5652173913043478
40,BFS2Vec,doi_name,0.8,1st,0.0702247191011236
40,BFS2Vec,doi_name,0.8,2nd,0.1339712918660287
40,BFS2Vec,doi_name,0.8,3rd,0.23529411764705882
40,BFS2Vec,doi_name,0.8,4th,0.5333333333333333
40,BFS2Vec,doi_name,0.8,1st,0.06460674157303371
40,BFS2Vec,doi_name,0.8,2nd,0.1553398058252427
40,BFS2Vec,doi_name,0.8,3rd,0.25225225225225223
40,BFS2Vec,doi_name,0.8,4th,0.6444444444444445
45,BFS2Vec,doi_name,0.8,1st,0.06460674157303371
45,BFS2Vec,doi_name,0.8,2nd,0.18324607329842932
45,BFS2Vec,doi_name,0.8,3rd,0.35185185185185186
45,BFS2Vec,doi_name,0.8,4th,0.8372093023255814
45,BFS2Vec,doi_name,0.8,1st,0.07865168539325842
45,BFS2Vec,doi_name,0.8,2nd,0.19387755102040816
45,BFS2Vec,doi_name,0.8,3rd,0.2966101694915254
45,BFS2Vec,doi_name,0.8,4th,0.9285714285714286
45,BFS2Vec,doi_name,0.8,1st,0.07584269662921349
45,BFS2Vec,doi_name,0.8,2nd,0.1574074074074074
45,BFS2Vec,doi_name,0.8,3rd,0.2807017543859649
45,BFS2Vec,doi_name,0.8,4th,0.7073170731707317
45,BFS2Vec,doi_name,0.8,1st,0.08426966292134831
45,BFS2Vec,doi_name,0.8,2nd,0.1497584541062802
45,BFS2Vec,doi_name,0.8,3rd,0.3
45,BFS2Vec,doi_name,0.8,4th,0.6458333333333334
45,BFS2Vec,doi_name,0.8,1st,0.08146067415730338
45,BFS2Vec,doi_name,0.8,2nd,0.18134715025906736
45,BFS2Vec,doi_name,0.8,3rd,0.3627450980392157
45,BFS2Vec,doi_name,0.8,4th,0.8055555555555556
45,BFS2Vec,doi_name,0.8,1st,0.07865168539325842
45,BFS2Vec,doi_name,0.8,2nd,0.18090452261306533
45,BFS2Vec,doi_name,0.8,3rd,0.29906542056074764
45,BFS2Vec,doi_name,0.8,4th,0.7317073170731707
45,BFS2Vec,doi_name,0.8,1st,0.08707865168539326
45,BFS2Vec,doi_name,0.8,2nd,0.21693121693121692
45,BFS2Vec,doi_name,0.8,3rd,0.34545454545454546
45,BFS2Vec,doi_name,0.8,4th,0.975609756097561
45,BFS2Vec,doi_name,0.8,1st,0.08146067415730338
45,BFS2Vec,doi_name,0.8,2nd,0.15048543689320387
45,BFS2Vec,doi_name,0.8,3rd,0.32075471698113206
45,BFS2Vec,doi_name,0.8,4th,0.6739130434782609
45,BFS2Vec,doi_name,0.8,1st,0.08426966292134831
45,BFS2Vec,doi_name,0.8,2nd,0.14354066985645933
45,BFS2Vec,doi_name,0.8,3rd,0.2647058823529412
45,BFS2Vec,doi_name,0.8,4th,0.5555555555555556
45,BFS2Vec,doi_name,0.8,1st,0.08146067415730338
45,BFS2Vec,doi_name,0.8,2nd,0.1796116504854369
45,BFS2Vec,doi_name,0.8,3rd,0.27927927927927926
45,BFS2Vec,doi_name,0.8,4th,0.7111111111111111
50,BFS2Vec,doi_name,0.8,1st,0.0702247191011236
50,BFS2Vec,doi_name,0.8,2nd,0.193717277486911
50,BFS2Vec,doi_name,0.8,3rd,0.4074074074074074
50,BFS2Vec,doi_name,0.8,4th,0.9767441860465116
50,BFS2Vec,doi_name,0.8,1st,0.08426966292134831
50,BFS2Vec,doi_name,0.8,2nd,0.20918367346938777
50,BFS2Vec,doi_name,0.8,3rd,0.3644067796610169
50,BFS2Vec,doi_name,0.8,4th,1.0
50,BFS2Vec,doi_name,0.8,1st,0.08707865168539326
50,BFS2Vec,doi_name,0.8,2nd,0.18055555555555555
50,BFS2Vec,doi_name,0.8,3rd,0.30701754385964913
50,BFS2Vec,doi_name,0.8,4th,0.7804878048780488
50,BFS2Vec,doi_name,0.8,1st,0.09550561797752809
50,BFS2Vec,doi_name,0.8,2nd,0.16908212560386474
50,BFS2Vec,doi_name,0.8,3rd,0.31666666666666665
50,BFS2Vec,doi_name,0.8,4th,0.7291666666666666
50,BFS2Vec,doi_name,0.8,1st,0.0898876404494382
50,BFS2Vec,doi_name,0.8,2nd,0.20725388601036268
50,BFS2Vec,doi_name,0.8,3rd,0.4117647058823529
50,BFS2Vec,doi_name,0.8,4th,0.8333333333333334
50,BFS2Vec,doi_name,0.8,1st,0.08426966292134831
50,BFS2Vec,doi_name,0.8,2nd,0.19095477386934673
50,BFS2Vec,doi_name,0.8,3rd,0.32710280373831774
50,BFS2Vec,doi_name,0.8,4th,0.8780487804878049
50,BFS2Vec,doi_name,0.8,1st,0.10393258426966293
50,BFS2Vec,doi_name,0.8,2nd,0.23809523809523808
50,BFS2Vec,doi_name,0.8,3rd,0.37272727272727274
50,BFS2Vec,doi_name,0.8,4th,0.975609756097561
50,BFS2Vec,doi_name,0.8,1st,0.09550561797752809
50,BFS2Vec,doi_name,0.8,2nd,0.1553398058252427
50,BFS2Vec,doi_name,0.8,3rd,0.3490566037735849
50,BFS2Vec,doi_name,0.8,4th,0.7391304347826086
50,BFS2Vec,doi_name,0.8,1st,0.09550561797752809
50,BFS2Vec,doi_name,0.8,2nd,0.16267942583732056
50,BFS2Vec,doi_name,0.8,3rd,0.30392156862745096
50,BFS2Vec,doi_name,0.8,4th,0.6
50,BFS2Vec,doi_name,0.8,1st,0.09269662921348315
50,BFS2Vec,doi_name,0.8,2nd,0.21359223300970873
50,BFS2Vec,doi_name,0.8,3rd,0.3333333333333333
50,BFS2Vec,doi_name,0.8,4th,0.7555555555555555
1,BFS2Vec,doi_bioActivity,0.8,1st,0.11180124223602485
1,BFS2Vec,doi_bioActivity,0.8,2nd,0.009345794392523364
1,BFS2Vec,doi_bioActivity,0.8,3rd,0.014285714285714285
1,BFS2Vec,doi_bioActivity,0.8,4th,0.030303030303030304
1,BFS2Vec,doi_bioActivity,0.8,1st,0.062111801242236024
1,BFS2Vec,doi_bioActivity,0.8,2nd,0.021052631578947368
